"n.deleterious"	"n.functional"	"n.neutral"	"m1"	"m2"	"m3"	"m4"
"1"	0	10000	0	0.90555639530692	1.22236560924547	4.97978982216513	44.7517981893222
"2"	5000	5000	0	0.778547733844422	1.2651077290781	6.52059883297104	79.9710481486023
"3"	9000	1000	0	0.414229962979145	0.828614031656169	9.1322397055399	131.190552811599
"4"	9500	500	0	0.291757533962717	0.292137146659798	6.2423504412805	56.82109365137
"5"	9900	100	0	0.176286002952777	0.0687584539063468	8.89774155544583	128.452012565475
"6"	10000	0	0	0.146520422726212	0.0182115912756312	2.53574774117088	15.0128375619562
"7"	0	5000	5000	0.768285985656147	0.920579412870714	4.6254318155275	42.0875180164257
"8"	2500	2500	5000	0.623216913491685	0.879049427241169	5.9907350536724	61.5164698962119
"9"	4500	500	5000	0.427669488800011	0.565664427343942	7.43147730187045	90.6560508985858
"10"	4750	250	5000	0.376885857765356	0.320904484141248	4.90634284654363	43.6294781439509
"11"	4950	50	5000	0.332808234568208	0.297641244958519	7.21955147109982	95.1036198412349
"12"	5000	0	5000	0.337734553020644	0.287271908192398	4.72207053381222	32.9244314011378
"13"	0	1000	9000	0.556314034049387	0.638898417263666	4.92376761733064	40.9796874155183
"14"	500	500	9000	0.508691408076736	0.673977600299883	7.66319449970389	123.506042782677
"15"	900	100	9000	0.47342764160852	0.822687557659482	15.1736053474029	435.188629868561
"16"	950	50	9000	0.444906697551147	0.461101329082863	5.71734799283758	57.1656333408416
"17"	990	10	9000	0.454723145522593	0.501148363679476	5.44188147980442	51.4712601722863
"18"	1000	0	9000	0.4465999090352	0.661556691680478	12.4290443915756	296.819481285875
"19"	0	500	9500	0.494998702274261	0.49898436651486	5.11977668883646	45.9654466973134
"20"	250	250	9500	0.507491237544584	0.833256009672266	9.60566886722476	179.36481586116
"21"	450	50	9500	0.463577477911374	0.579184552967143	7.55468581294588	109.778140261084
"22"	475	25	9500	0.459390710377757	0.511669945006605	5.23200945984771	44.9803502965831
"23"	495	5	9500	0.432720244473488	0.459919804966423	8.30376757888669	135.492688904756
"24"	500	0	9500	0.43430280598416	0.475556830625863	8.01504377545652	116.769385339846
"25"	0	100	9900	0.475675888244566	0.969751372387798	16.122347990772	455.155299954533
"26"	50	50	9900	0.466015153719386	0.44818216686056	4.26591235305452	29.4225176338947
"27"	90	10	9900	0.494179338268868	0.853294171780373	9.42469986418477	136.426181053596
"28"	95	5	9900	0.465553313331756	0.642183065169021	6.63257733916943	67.630716515642
"29"	99	1	9900	0.428717381150916	0.482119217946812	8.03236051365927	117.520035196481
"30"	100	0	9900	0.441621520378245	0.408785484062873	4.63838562131876	34.8315759399094
"31"	0	0	10000	0.476527940560205	0.666359939757938	10.0201525887224	180.462536312613
