"n.deleterious"	"n.functional"	"n.neutral"	"m1"	"m2"	"m3"	"m4"
"1"	0	10000	0	0.698905678631084	1.02687467265033	5.27870508168333	51.0783832289371
"2"	5000	5000	0	0.372949372378124	0.710589847709012	8.19156563350118	129.434973210474
"3"	9000	1000	0	0.107920807785541	0.215956848878051	17.3296850754282	480.867383945719
"4"	9500	500	0	0.0719617989153707	0.0724315847683364	12.425910367256	225.479519515066
"5"	9900	100	0	0.043990336890823	0.0164186112449635	16.0457085865736	461.363248230676
"6"	10000	0	0	0.0376904805458396	0.00610300012773005	4.95585399254004	43.2778510860846
"7"	0	5000	5000	0.418582318823154	0.606129371614245	5.50656278501547	59.0408233241962
"8"	2500	2500	5000	0.250759939819017	0.411724019818188	8.40267555201816	122.438715018592
"9"	4500	500	5000	0.126260678486947	0.181534034604576	12.5451019254378	263.909069905568
"10"	4750	250	5000	0.109568982756852	0.10645668659569	8.52091652126975	125.208379680498
"11"	4950	50	5000	0.0934845470443373	0.0899260977587154	12.4160252055152	285.841555437695
"12"	5000	0	5000	0.0916450909426932	0.0849671563963682	8.86321602961089	113.035790011036
"13"	0	1000	9000	0.200235604854652	0.274498708844557	7.41594012131018	91.202910185857
"14"	500	500	9000	0.175005709001539	0.263431716304181	11.4801279984459	281.526351289549
"15"	900	100	9000	0.148647638037363	0.273849886865181	23.8788532217791	1163.06265571115
"16"	950	50	9000	0.140269306699975	0.166703163213576	9.22960490825697	147.680129819783
"17"	990	10	9000	0.140666864222312	0.176668420868759	9.02317546748863	138.404666227623
"18"	1000	0	9000	0.139975039181652	0.223466231713822	19.4786740041111	779.461500199146
"19"	0	500	9500	0.171850397834297	0.206326157167045	7.78505256739968	104.439793808391
"20"	250	250	9500	0.166100200443427	0.297673773182926	14.984827421217	452.957350092681
"21"	450	50	9500	0.148152536693459	0.207141970290266	11.887616779259	276.86548804949
"22"	475	25	9500	0.148694828042718	0.18900938540867	8.54140233530141	117.591163837112
"23"	495	5	9500	0.141576807979073	0.169540118952384	12.5577818591829	323.207994731305
"24"	500	0	9500	0.13895443391678	0.171766954083676	12.3414652585898	288.646783687412
"25"	0	100	9900	0.154364348671122	0.32684618461642	25.5791723143044	1226.41129751089
"26"	50	50	9900	0.152709981781839	0.174178953142427	7.00596235868378	75.7523153107299
"27"	90	10	9900	0.160638838287499	0.298979422036468	14.9946376682105	362.28534063987
"28"	95	5	9900	0.150931457663785	0.228413427382979	10.7851662950259	181.751889792765
"29"	99	1	9900	0.138724866941278	0.173741988026547	12.4439180339861	292.834500072449
"30"	100	0	9900	0.147691412768285	0.160757964590035	7.42576836768117	86.8055889634353
"31"	0	0	10000	0.157786285916417	0.243580047610379	15.2152629454669	441.191499857074
