"alpha.all"	"nloci.all"	"C.all"	"gamma_0.all"	"gamma_1.all"	"epsilon.all"	"type.all"	"sig.all"	"lambda.all"	"gv"	"P_0"	"P_1"	"lv"
"1"	1.83467347293182	10	2.69008561913934	1	1	0.00221261401195079	1	11.265367513568	0.001	0	1.83062301080751	0.00405046212431224	0.00220772915947794
"2"	0.532884845693998	1	1.65693581592638	1	1	0.0121510717082293	1	7.52277444974007	0.001	0	0.526487458828292	0.006397386865706	0.0120051957142343
"3"	1.36181108333398	6	1.29646985444189	1	1	0.0100859886496784	1	7.25718688464264	0.001	0	1.34821302209577	0.0135980612382065	0.00998527725660435
"4"	0.736234378138994	10	2.46568755896494	1	1	0.00741948023266541	1	14.8594164365655	0.001	0	0.730812131972035	0.00542224616695858	0.00736483697034711
"5"	5.29224710640413	8	0.397584800223863	1	1	0.0147241085386815	1	6.11122825009889	0.001	0.125	4.97194352373631	0.320303582667817	0.0605231721474644
"6"	4.2253307991486	1	1.56940623065978	1	1	0.012128718457696	1	9.12135835823347	0.001	0	4.17469707369558	0.0506337254530209	0.0119833754704421
"7"	15.7630120333091	9	0.646930964632408	1	1	0.0292145498080139	1	11.1756461115319	0.001	0	15.3155744215329	0.447437611776218	0.0283852864433985
"8"	0.238154554532556	2	0.663028894721353	1	1	0.000283225687003361	1	10.3964261710778	0.001	0	0.23808712214382	6.74323887358366e-05	0.000283145492926605
"9"	1.04989548733394	10	2.62562061029137	1	1	0.0118168153362436	1	13.5224702430937	0.001	0	1.0376339584602	0.0122615288737396	0.0116788090068622
"10"	0.822958406169887	9	0.785990007155561	1	1	0.0142045707093133	1	7.74592236282344	0.001	0	0.811432357866745	0.011526048303143	0.014005626793201
"11"	1.6956421077011	1	0.267085224902792	1	1	0.00730248827445221	1	15.5123281232772	0.001	0	1.6833494679496	0.0122926397515073	0.00724954853130727
"12"	0.280354659286098	1	0.545342659799288	1	1	0.000972185709310609	1	11.4989934005554	0.001	0	0.280082367211265	0.000272292074832678	0.000971241482221304
"13"	0.683393249464899	3	0.802185800368233	1	1	0.0047455302626275	1	7.42727550407194	0.001	0	0.680165503484518	0.00322774598038105	0.0047231165700106
"14"	0.105915649134894	9	0.376217278943393	1	1	0.00098674900829792	1	7.344872127971	0.001	0.111111111111111	0.101569620283221	0.00434602885167288	0.0410329246638314
"15"	1.10586293188932	10	5.17272632789099	1	1	0.0306774480624085	1	12.2502985207734	0.001	0	1.072947636497	0.0329152953923206	0.0297643536492233
"16"	1.47518214641824	7	6.75545081742555	1	1	0.000597223034128547	1	11.3990441160743	0.001	0	1.47430165950793	0.000880486910312078	0.000596866571663648
"17"	0.674460279270575	1	1.11627894076166	1	1	0.0164101768326031	1	9.31361258277697	0.001	0	0.66357096243602	0.0108893168345557	0.0161452307411379
