"n.deleterious"	"n.functional"	"n.neutral"	"m1"	"m2"	"m3"	"m4"
"1"	0	10000	0	0.700283040255371	1.02798404595496	5.2772742360686	51.0412467047175
"2"	5000	5000	0	0.411556117153927	0.768568850168607	7.91463264047089	120.729338682104
"3"	9000	1000	0	0.129174290039538	0.256257088061792	15.9536192592113	406.863313595698
"4"	9500	500	0	0.0870805536796751	0.0866050387628992	11.3830325836963	189.055654821812
"5"	9900	100	0	0.0531319513227126	0.0194533825443236	14.9104165336212	394.968133679985
"6"	10000	0	0	0.0456874592969207	0.00708385693188551	4.56338992871036	37.3649666453813
"7"	0	5000	5000	0.452169273151165	0.639782285427825	5.37204862315027	56.3408168250539
"8"	2500	2500	5000	0.283783857001652	0.456901360597959	7.99935625905324	111.006766813719
"9"	4500	500	5000	0.149368986012922	0.211667856849498	11.6587772794402	227.644728425056
"10"	4750	250	5000	0.13002789726623	0.123935950498496	7.89614018050322	107.980614329414
"11"	4950	50	5000	0.109860528789855	0.104104504965062	11.5887596973868	248.768303441973
"12"	5000	0	5000	0.108309310500442	0.0988279542663601	8.2120355156402	97.1812081765077
"13"	0	1000	9000	0.229827953312484	0.308575809218383	6.99469678879627	81.4004771741211
"14"	500	500	9000	0.20211594678932	0.299104856984279	10.8261882354762	250.304530104329
"15"	900	100	9000	0.174029528424237	0.31662470921837	22.3829035361163	1015.83891134026
"16"	950	50	9000	0.163683018205669	0.190992993547652	8.63903631896519	129.596738071955
"17"	990	10	9000	0.164711596189658	0.203210959027669	8.42103304993408	120.841230453916
"18"	1000	0	9000	0.163947723836393	0.258204604371068	18.256759768754	681.334654080156
"19"	0	500	9500	0.198998439942098	0.233798182011859	7.31974851456923	92.6204299752248
"20"	250	250	9500	0.193221310510613	0.341455370356089	14.0690099648613	398.280701458675
"21"	450	50	9500	0.172668231993263	0.23750624929633	11.1518590553359	243.486567544226
"22"	475	25	9500	0.173660230913498	0.216710468139336	7.97971022582	102.868429141071
"23"	495	5	9500	0.165011005956296	0.194017826724459	11.8168978439854	285.490054151439
"24"	500	0	9500	0.16174099968679	0.196540619543704	11.602872448685	254.55866815774
"25"	0	100	9900	0.179597751095444	0.376223265806029	24.0060848533198	1074.25445887098
"26"	50	50	9900	0.178803623266501	0.199566458469786	6.52845568490062	66.1034326804266
"27"	90	10	9900	0.186708324059582	0.343020356351831	14.0662223210445	317.712532445107
"28"	95	5	9900	0.174970645198463	0.260931810701664	10.1150995592422	159.731583837277
"29"	99	1	9900	0.162081440644931	0.199500101857007	11.6796031867237	257.372802414477
"30"	100	0	9900	0.17115863906149	0.182530273541919	6.96266827726318	76.5729796321362
"31"	0	0	10000	0.183076166608119	0.278306206367936	14.3301783305791	389.769439723862
