"Ne"	"alpha"	"l"	"gamma_2"	"v"	"P_1"	"P_2"	"frac"
"170"	1000	0	40	100	0.912450855744187	0.912450855744187	0.000875491442558127	0.000958574605073905
"171"	1000	0	50	20	0.911883040498403	0.911883040498403	0.00440584797507985	0.00480836123901916
"172"	1000	0	50	40	0.911796193606474	0.911796193606474	0.00220509515983814	0.00241257335951299
"173"	1000	0	50	60	0.911767235614166	0.911767235614166	0.00147054607309723	0.00161025540399818
"174"	1000	0	50	80	0.911752753662196	0.911752753662196	0.00110309057922255	0.00120839515481135
"175"	1000	0	50	100	0.911744061593265	0.911744061593265	0.000882559384067351	0.000967054175038437
"176"	1000	1	10	20	0.928886639831057	2.52497567375115	0.009665307735395	0.00381328472394793
"177"	1000	1	10	40	0.927937494320407	2.52239562875698	0.0048971549925516	0.00193770782081137
"178"	1000	1	10	60	0.927619511979049	2.5215312631367	0.0032791760887058	0.00129878110362687
"179"	1000	1	10	80	0.92746021677312	2.52109825387306	0.00246479468232482	0.000976712146635606
"180"	1000	1	10	100	0.927364541854711	2.52083818248091	0.00197443645978137	0.000782633020366934
"181"	1000	1	20	20	0.917594321182028	2.49427996916632	0.0112000929646363	0.00447023831237771
"182"	1000	1	20	40	0.917046610725225	2.49279113778433	0.00563726726686778	0.0022563253185365
"183"	1000	1	20	60	0.916863571464627	2.49229358548836	0.00376647071617815	0.00150896638356746
"184"	1000	1	20	80	0.916771959827455	2.49204455923976	0.00282796586524111	0.00113351116611543
"185"	1000	1	20	100	0.916716970289078	2.49189508217683	0.00226386746282214	0.000907667678176329
"186"	1000	1	30	20	0.914427273250901	2.48567104032528	0.0116305394066883	0.00465724264185048
"187"	1000	1	30	40	0.914046427476126	2.48463579417626	0.00584115085706959	0.00234539447101423
"188"	1000	1	30	60	0.913919259878427	2.48429011680627	0.00389986186087962	0.00156734891399597
"189"	1000	1	30	80	0.913855635059173	2.48411716661625	0.00292705827303494	0.00117692248643678
"190"	1000	1	30	100	0.913817445633622	2.48401335699474	0.0023426847146431	0.000942216108772778
"191"	1000	1	40	20	0.912991081609832	2.48176706668518	0.0118257380886935	0.00474244955553835
"192"	1000	1	40	40	0.912699764691981	2.48097518520106	0.00593266608144966	0.00238555927128147
"193"	1000	1	40	60	0.912602530739791	2.48071087591571	0.00395951587572225	0.00159357792035646
"194"	1000	1	40	80	0.912553888176659	2.48057865172026	0.00297128970923483	0.00119638814572201
"195"	1000	1	40	100	0.91252469674778	2.48049930118959	0.00237782527269453	0.000957689467332828
"196"	1000	1	50	20	0.912181113110186	2.47956534403096	0.011935824221404	0.00479061554274777
"197"	1000	1	50	40	0.91194539305686	2.4789245904934	0.00598393094914102	0.00240810915070113
"198"	1000	1	50	60	0.911866737378398	2.47871078219194	0.0039928507711185	0.00160826718022445
"199"	1000	1	50	80	0.911827392026736	2.47860383043748	0.00299597497526957	0.00120727563273292
"200"	1000	1	50	100	0.911803780487875	2.47853964762045	0.00239742180838594	0.000966337211019174
"201"	1000	2	10	20	0.93209286437323	6.88728646426675	0.0250884817331949	0.00362950244007136
"202"	1000	2	10	40	0.929563919766462	6.86859995069626	0.0130114037058598	0.00189074956950838
"203"	1000	2	10	60	0.928708935256583	6.86228242218904	0.00877956127902679	0.0012777589985581
"204"	1000	2	10	80	0.928279207896839	6.85910714262065	0.00662436195387497	0.000964844306751766
"205"	1000	2	10	100	0.928020655340061	6.8571966832741	0.00531859415656556	0.000775021102547818
"206"	1000	2	20	20	0.919460413116446	6.79394457326337	0.0297555762833642	0.00436062189592851
"207"	1000	2	20	40	0.917986429728292	6.78305322731941	0.015150071790281	0.00222854056045442
"208"	1000	2	20	60	0.917491618654288	6.77939704053522	0.0101609843065905	0.0014965604932476
"209"	1000	2	20	80	0.917243560913286	6.77756412797119	0.00764364963699331	0.00112651666500443
"210"	1000	2	20	100	0.917094516066772	6.77646282723903	0.00612593271691617	0.000903185042425594
"211"	1000	2	30	20	0.915728483467687	6.76636913573143	0.0311343481599611	0.00458026218504231
"212"	1000	2	30	40	0.914700216480787	6.75877121328055	0.0157571221412526	0.00232593641373729
"213"	1000	2	30	60	0.914355822834807	6.75622646931029	0.0105471604936727	0.00155866903057289
"214"	1000	2	30	80	0.91418332226819	6.75495185294646	0.00792630307480243	0.00117203103352458
"215"	1000	2	30	100	0.914079722192388	6.7541863461745	0.00634869752756152	0.000939082112069783
"216"	1000	2	40	20	0.91398783758258	6.753507405638	0.0317774346646327	0.00468328676135804
"217"	1000	2	40	40	0.913199980575934	6.74768588601796	0.0160342553228173	0.00237062666517111
"218"	1000	2	40	60	0.912936414513296	6.74573838159535	0.0107219619555884	0.00158691998626507
"219"	1000	2	40	80	0.912804455913787	6.74476333210084	0.00805365958537262	0.00119263702767126
"220"	1000	2	40	100	0.91272522296246	6.7441778753786	0.0064487822355205	0.000955286458961085
"221"	1000	2	50	20	0.912988320434116	6.74612191735615	0.0321467090787248	0.0047426136157181
"222"	1000	2	50	40	0.912350194885634	6.74140677188026	0.0161912331762597	0.00239600419618691
"223"	1000	2	50	60	0.912136871666371	6.73983051464592	0.0108204264047454	0.0016028715599775
