"alpha.all"	"nloci.all"	"C.all"	"gamma_0.all"	"gamma_1.all"	"type.all"	"sig.all"	"lambda.all"	"epsilon.all"	"lv_bim"	"lv_oct"	"lv_squ"	"lv_sep"
"1"	0.528769777444759	3	0.104790798477353	1	1	1	10	0.001	1e-04	0.0338446780779765	0.0338446780779765	0.0653860868743027	0.0338446780779765
"2"	1.51613938603972	6	0.0370367034002545	1	1	1	10	0.001	1e-04	0.00623368136394467	0.00623368136394467	0.0241914032420379	0.0300339506694111
"3"	2.2785181328776	4	0.00103652009393255	1	1	1	10	0.001	1e-04	0.00061787803766169	0.00061787803766169	0.00061787803766169	0.00061787803766169
"4"	1.24655195271557	3	0.001355936890468	1	1	1	10	0.001	1e-04	0.000551674450797799	0.000551674450797799	0.000551674450797799	0.000551674450797799
"5"	10.558845790229	9	0.0132454004138708	1	1	1	10	0.001	1e-04	0.00595121562508959	0.00595121562508959	0.00449483867474189	0.00449483867474189
"6"	0.388727515954031	2	0.0958597845862186	1	1	1	10	0.001	1e-04	9.99900009999e-05	9.99900009999e-05	0.0458287427165068	0.0458287427165068
"7"	1.76474178550778	3	0.0598649182356894	1	1	1	10	0.001	1e-04	0.0196606783762415	0.0196606783762415	0.0384707335386021	0.0196606783762415
"8"	0.482740228960217	9	0.144562270314591	1	1	1	10	0.001	1e-04	0.0744274819980011	0.0604593452242508	0.0879863748368043	0.0744274819980011
"9"	2.91592682347742	8	0.223767176816676	1	1	1	10	0.001	1e-04	0.122771994223749	0.122771994223749	0.10070615211923	0.10070615211923
"10"	1.37171765702419	10	0.119267261798823	1	1	1	10	0.001	1e-04	0.056366646445593	0.056366646445593	0.0668685340517748	0.0456256820834045
"11"	2.51386545134771	10	0.0656059168744832	1	1	1	10	0.001	1e-04	0.0130486645875866	0.0193980472548998	0.0318548399619486	0.0318548399619486
"12"	0.675879979438681	7	0.115778022618024	1	1	1	10	0.001	1e-04	0.0473642425498052	0.0473642425498052	0.0473642425498052	0.0621414479424226
"13"	0.522235577482317	6	0.0160755864116737	1	1	1	10	0.001	1e-04	0.0107013010181905	0.0107013010181905	0.00807210409200017	0.00277156149973161
"14"	2.92250315745766	5	0.0181125602219254	1	1	1	10	0.001	1e-04	0.00729146808007947	0.00729146808007947	0.010848554222725	0.010848554222725
"15"	0.151841964924364	8	0.000864891155505275	1	1	1	10	0.001	1e-04	0.000532162230326453	0.000532162230326453	0.000532162230326453	0.000424154200188342
"16"	2.73570731167389	3	0.0131436998955905	1	1	1	10	0.001	1e-04	9.99900009999e-05	9.99900009999e-05	0.00878461325551527	0.00446124143485951
"17"	1.09166528208962	3	0.0858403678010118	1	1	1	10	0.001	1e-04	0.0542187200797683	0.0542187200797683	0.0279120057855275	0.0279120057855275
"18"	0.421602863183059	3	0.0588621521368623	1	1	1	10	0.001	1e-04	0.0193393318806382	0.0193393318806382	0.0378522720659856	0.0378522720659856
"19"	0.277717639617737	9	0.0157109126091937	1	1	1	10	0.001	1e-04	0.00530863881899632	0.00530863881899632	0.00703281700092025	0.00875102821367202
"20"	2.19269181274513	2	0.196513504712822	1	1	1	10	0.001	1e-04	0.0895490032226751	0.0895490032226751	0.164308278269021	0.164308278269021
"21"	2.93264554540621	9	0.0223010782152414	1	1	1	10	0.001	1e-04	0.0171461633827571	0.0171461633827571	0.0171461633827571	0.0171461633827571
"22"	0.430557841694115	8	0.166564677738492	1	1	1	10	0.001	1e-04	0.111129685185299	0.111129685185299	0.0943693603419347	0.0769648312305648
"23"	1.93266306372246	10	0.115818818654389	1	1	1	10	0.001	1e-04	0.044367647298396	0.044367647298396	0.054828821762638	0.0650634422378634
"24"	1.87765072755433	9	0.164858905590119	1	1	1	10	0.001	1e-04	0.0683553499768703	0.0683553499768703	0.0521802887363492	0.0521802887363492
"25"	0.238585586176337	5	0.0097270907368511	1	1	1	10	0.001	1e-04	0.00590122327920559	0.00590122327920559	0.00590122327920559	0.00590122327920559
"26"	1.29502326126979	9	0.0690344589296728	1	1	1	10	0.001	1e-04	0.0152061921983095	0.0152061921983095	0.0225894114367226	0.0225894114367226
"27"	1.60982833263417	6	0.0263366830979559	1	1	1	10	0.001	1e-04	0.0173514013526813	0.0130945979509186	0.008800753406151	0.0173514013526813
"28"	1.66359621452244	9	0.0629686526954174	1	1	1	10	0.001	1e-04	0.0273187904617419	0.0273187904617419	0.0206539679893066	0.0273187904617419
"29"	2.66419401546299	2	0.0172030794434249	1	1	1	10	0.001	1e-04	0.0170087752539701	0.0170087752539701	9.99900009999e-05	0.0170087752539701
"30"	7.00601383991172	2	0.0561693020630628	1	1	1	10	0.001	1e-04	0.0274120519142695	0.0274120519142695	0.0274120519142695	0.0532717385170239
"31"	4.53263625719638	6	0.0518584656529129	1	1	1	10	0.001	1e-04	0.0335104265240161	0.0335104265240161	0.0253688998263259	0.0415170604598265
"32"	1.20932447444529	4	0.0467232045717537	1	1	1	10	0.001	1e-04	0.0116436298550343	0.0116436298550343	0.0229237738215835	0.0229237738215835
"33"	0.511278837652729	6	0.0906777809861839	1	1	1	10	0.001	1e-04	0.0434639374011237	0.0434639374011237	0.0294333338614803	0.0294333338614803
"34"	3.67398772160216	4	0.209928321639512	1	1	1	10	0.001	1e-04	0.136103626462711	0.0950751680715239	0.0950751680715239	0.136103626462711
"35"	2.39186306066999	8	0.0148989059199417	1	1	1	10	0.001	1e-04	0.00749288577130592	0.00749288577130592	0.00749288577130592	0.00749288577130592
"36"	1.32778928382112	1	0.156834155561834	1	1	1	10	0.001	1e-04	9.99900009999e-05	9.99900009999e-05	0.135646574878432	9.99900009999e-05
"37"	0.619501589530642	5	0.00967230820097029	1	1	1	10	0.001	1e-04	0.00203033100963805	0.00203033100963805	0.00586873949236015	0.00395323320110345
"38"	0.812083121668945	8	0.0794134203302574	1	1	1	10	0.001	1e-04	0.0382827979238633	0.0382827979238633	0.0290131196618315	0.0195630074484623
"39"	9.99047576210742	5	0.133718543868036	1	1	1	10	0.001	1e-04	0.0743578745105657	0.0743578745105657	0.0508618617256912	0.0508618617256912
"40"	1.20837638224561	4	0.110265899352254	1	1	1	10	0.001	1e-04	0.0523419494179736	0.0523419494179736	0.0523419494179736	0.0523419494179736
